date,admissions,discharges,hosp,rea,hosp_rel,icu_rate
2020-08-12,103186,83461,4850,355,0.14492320564154665,0.05071428571428571
2020-08-13,103488,83651,4824,351,0.14414629773501464,0.05014285714285714
2020-08-14,103681,83836,4788,344,0.1430705790952011,0.04914285714285714
2020-08-15,103793,83880,4817,353,0.14393713022171756,0.05042857142857143
2020-08-16,103797,83909,4820,353,0.14402677344170203,0.05042857142857143
2020-08-17,104022,84053,4885,361,0.14596904320803203,0.051571428571428574
2020-08-18,104115,84297,4783,357,0.14292117372856034,0.051
2020-08-19,104375,84440,4781,362,0.14286141158190402,0.05171428571428571
2020-08-20,104506,84615,4723,368,0.1411283093288711,0.052571428571428575
2020-08-21,104771,84802,4720,367,0.14103866610888663,0.05242857142857143
2020-08-22,104868,84923,4685,368,0.13999282854240125,0.052571428571428575
2020-08-23,104925,84946,4683,371,0.13993306639574493,0.053
2020-08-24,105149,85172,4664,387,0.13936532600251,0.055285714285714285
2020-08-25,105424,85494,4578,401,0.13679555369628876,0.05728571428571429
2020-08-26,105722,85731,4535,373,0.13551066754317814,0.053285714285714283
2020-08-27,105982,85954,4517,375,0.13497280822327137,0.05357142857142857
2020-08-28,106212,86147,4517,381,0.13497280822327137,0.05442857142857143
2020-08-29,106334,86268,4512,394,0.1348234028566306,0.056285714285714286
2020-08-30,106360,86280,4517,396,0.13497280822327137,0.05657142857142857
2020-08-31,106590,86439,4564,403,0.13637721866969463,0.05757142857142857
2020-09-01,106827,86682,4586,418,0.137034602282914,0.05971428571428571
2020-09-02,107109,86933,4614,440,0.1378712723361023,0.06285714285714286
2020-09-03,107355,87176,4625,458,0.13819996414271202,0.06542857142857143
2020-09-04,107631,87417,4653,467,0.13903663419590032,0.06671428571428571
2020-09-05,107761,87549,4667,476,0.13945496922249448,0.068
2020-09-06,107809,87578,4697,480,0.1403514014223391,0.06857142857142857
2020-09-07,108224,87806,4889,531,0.14608856750134463,0.07585714285714286
2020-09-08,108514,88196,4942,568,0.1476722643877368,0.08114285714285714
2020-09-09,108832,88494,4985,593,0.14895715054084743,0.08471428571428571
2020-09-10,109118,88712,5077,608,0.1517062092870376,0.08685714285714285
2020-09-11,109442,89029,5136,628,0.15346919261339867,0.08971428571428572
2020-09-12,109612,89201,5176,655,0.15466443554652484,0.09357142857142857
2020-09-13,109669,89240,5228,662,0.15621825135958883,0.09457142857142857
2020-09-14,110139,89477,5479,705,0.16371840076495547,0.10071428571428571
2020-09-15,110489,89861,5660,752,0.16912687503735135,0.10742857142857143
2020-09-16,110938,90305,5800,796,0.1733102253032929,0.11371428571428571
2020-09-17,111378,90810,5825,793,0.17405725213649675,0.11328571428571428
2020-09-18,112184,91544,5800,820,0.1733102253032929,0.11714285714285715
2020-09-19,112672,92289,5493,827,0.16413673579154964,0.11814285714285715
2020-09-20,113116,92552,5356,834,0.16004302874559254,0.11914285714285715
2020-09-21,113973,92978,5597,912,0.16724436741767765,0.13028571428571428
2020-09-22,114509,93508,5777,944,0.17262296061674534,0.13485714285714287
2020-09-23,114952,93952,5913,995,0.17668678658937428,0.14214285714285715
2020-09-24,115398,94383,6012,1041,0.17964501284886153,0.14871428571428572
2020-09-25,115929,94860,6110,1092,0.18257335803502062,0.156
2020-09-26,116326,95272,6154,1105,0.1838881252614594,0.15785714285714286
2020-09-27,116513,95395,6235,1112,0.18630849220103987,0.15885714285714286
2020-09-28,117023,95743,6397,1158,0.1911492260802008,0.16542857142857142
2020-09-29,117558,96296,6482,1198,0.19368911731309388,0.17114285714285715
